Symptom,cate
What are the symptoms of Childhood Interstitial Lung Disease ?,Childhood Interstitial Lung Disease
What are the symptoms of Polyneuropathy mental retardation acromicria premature menopause ?,Polyneuropathy mental retardation acromicria premature menopause
What are the symptoms of Ectodermal dysplasia adrenal cyst ?,Ectodermal dysplasia adrenal cyst
What are the symptoms of Radio-ulnar synostosis type 1 ?,Radio-ulnar synostosis type 1
What are the symptoms of Progeria ?,Progeria
What are the symptoms of Peripheral Artery Disease ?,Peripheral Artery Disease
"What are the symptoms of Emery-Dreifuss muscular dystrophy, X-linked ?","Emery-Dreifuss muscular dystrophy, X-linked"
What are the symptoms of Cataract and cardiomyopathy ?,Cataract and cardiomyopathy
What are the symptoms of Scalp ear nipple syndrome ?,Scalp ear nipple syndrome
What are the symptoms of Diarrhea ?,Diarrhea
"What are the symptoms of Maturity-onset diabetes of the young, type 1 ?","Maturity-onset diabetes of the young, type 1"
What are the symptoms of Symphalangism with multiple anomalies of hands and feet ?,Symphalangism with multiple anomalies of hands and feet
"What are the symptoms of Ichthyosis hystrix, Curth Macklin type ?","Ichthyosis hystrix, Curth Macklin type"
What are the symptoms of Negative rheumatoid factor polyarthritis ?,Negative rheumatoid factor polyarthritis
What are the symptoms of Klebsiella infection ?,Klebsiella infection
What are the symptoms of Trichorhinophalangeal syndrome type 3 ?,Trichorhinophalangeal syndrome type 3
What are the symptoms of Horizontal gaze palsy with progressive scoliosis ?,Horizontal gaze palsy with progressive scoliosis
What are the symptoms of Familial prostate cancer ?,Familial prostate cancer
What are the symptoms of Tiglic acidemia ?,Tiglic acidemia
What are the symptoms of Nail-patella syndrome ?,Nail-patella syndrome
What are the symptoms of Brooks Wisniewski Brown syndrome ?,Brooks Wisniewski Brown syndrome
What are the symptoms of Leber congenital amaurosis 2 ?,Leber congenital amaurosis 2
What are the symptoms of Intellectual disability - athetosis - microphthalmia ?,Intellectual disability - athetosis - microphthalmia
What are the symptoms of Retroperitoneal fibrosis ?,Retroperitoneal fibrosis
What are the symptoms of Galactosialidosis ?,Galactosialidosis
What are the symptoms of Medulloblastoma ?,Medulloblastoma
What are the symptoms of Eosinophilic fasciitis ?,Eosinophilic fasciitis
What are the symptoms of Parkinson disease ?,Parkinson disease
"What are the symptoms of Glutamine deficiency, congenital ?","Glutamine deficiency, congenital"
What are the symptoms of Microcystic adnexal carcinoma ?,Microcystic adnexal carcinoma
What are the symptoms of Absence of Tibia ?,Absence of Tibia
What are the symptoms of Shingles ?,Shingles
What are the symptoms of Lujan syndrome ?,Lujan syndrome
What are the symptoms of Penile Cancer ?,Penile Cancer
What are the symptoms of Warthin tumor ?,Warthin tumor
What are the symptoms of Familial hyperlipo-proteinemia type 1 ?,Familial hyperlipo-proteinemia type 1
What are the symptoms of Idiopathic inflammatory myopathy ?,Idiopathic inflammatory myopathy
"What are the symptoms of Nephrotic syndrome, idiopathic, steroid-resistant ?","Nephrotic syndrome, idiopathic, steroid-resistant"
What are the symptoms of Hyperglycerolemia ?,Hyperglycerolemia
What are the symptoms of Spastic paraplegia 15 ?,Spastic paraplegia 15
What are the symptoms of Abetalipoproteinemia ?,Abetalipoproteinemia
What are the symptoms of Anemia ?,Anemia
What are the symptoms of Hypotrichosis-lymphedema-telangiectasia syndrome ?,Hypotrichosis-lymphedema-telangiectasia syndrome
What are the symptoms of Aplasia cutis congenita intestinal lymphangiectasia ?,Aplasia cutis congenita intestinal lymphangiectasia
What are the symptoms of Schindler disease type 1 ?,Schindler disease type 1
What are the symptoms of Kyrle disease ?,Kyrle disease
What are the symptoms of Transient bullous dermolysis of the newborn ?,Transient bullous dermolysis of the newborn
What are the symptoms of Gastritis ?,Gastritis
"What are the symptoms of Nystagmus, congenital motor, autosomal recessive ?","Nystagmus, congenital motor, autosomal recessive"
What are the symptoms of Tukel syndrome ?,Tukel syndrome
"What are the symptoms of Prosopagnosia, hereditary ?","Prosopagnosia, hereditary"
What are the symptoms of Gorlin Bushkell Jensen syndrome ?,Gorlin Bushkell Jensen syndrome
What are the symptoms of Benign schwannoma ?,Benign schwannoma
What are the symptoms of Pulmonary arterial hypertension ?,Pulmonary arterial hypertension
What are the symptoms of Gaucher disease ?,Gaucher disease
"What are the symptoms of Epidermolysis bullosa simplex, generalized ?","Epidermolysis bullosa simplex, generalized"
What are the symptoms of Ichthyosis and male hypogonadism ?,Ichthyosis and male hypogonadism
What are the symptoms of PEHO syndrome ?,PEHO syndrome
What are the symptoms of Congenital intrauterine infection-like syndrome ?,Congenital intrauterine infection-like syndrome
What are the symptoms of Permanent neonatal diabetes mellitus ?,Permanent neonatal diabetes mellitus
What are the symptoms of Curry Jones syndrome ?,Curry Jones syndrome
What are the symptoms of Spinocerebellar ataxia 4 ?,Spinocerebellar ataxia 4
What are the symptoms of Von Hippel-Lindau disease ?,Von Hippel-Lindau disease
What are the symptoms of Alkhurma Hemorrhagic Fever (AHF) ?,Alkhurma Hemorrhagic Fever (AHF)
"What are the symptoms of Chondrodysplasia, Grebe type ?","Chondrodysplasia, Grebe type"
What are the symptoms of 3 methylglutaconic aciduria type V ?,3 methylglutaconic aciduria type V
What are the symptoms of Achondrogenesis type 1A ?,Achondrogenesis type 1A
What are the symptoms of Nodular nonsuppurative panniculitis ?,Nodular nonsuppurative panniculitis
What are the symptoms of Camptodactyly syndrome Guadalajara type 3 ?,Camptodactyly syndrome Guadalajara type 3
What are the symptoms of Mitochondrial complex II deficiency ?,Mitochondrial complex II deficiency
What are the symptoms of Esthesioneuroblastoma ?,Esthesioneuroblastoma
What are the symptoms of Pontocerebellar hypoplasia type 2 ?,Pontocerebellar hypoplasia type 2
What are the symptoms of Osteopoikilosis and dacryocystitis ?,Osteopoikilosis and dacryocystitis
"What are the symptoms of Methylmalonic acidemia with homocystinuria, type cblJ ?","Methylmalonic acidemia with homocystinuria, type cblJ"
What are the symptoms of Lethal congenital contracture syndrome 2 ?,Lethal congenital contracture syndrome 2
What are the symptoms of Acromegaly ?,Acromegaly
"What are the symptoms of Macular dystrophy, corneal type 1 ?","Macular dystrophy, corneal type 1"
What are the symptoms of Amyloidosis corneal ?,Amyloidosis corneal
What are the symptoms of Multiple pterygium syndrome lethal type ?,Multiple pterygium syndrome lethal type
What are the symptoms of Pulmonary Embolism ?,Pulmonary Embolism
What are the symptoms of Myotonia congenita autosomal dominant ?,Myotonia congenita autosomal dominant
What are the symptoms of Holt-Oram syndrome ?,Holt-Oram syndrome
What are the symptoms of Achondroplasia and severe combined immunodeficiency ?,Achondroplasia and severe combined immunodeficiency
"What are the symptoms of Craniosynostosis, anal anomalies, and porokeratosis ?","Craniosynostosis, anal anomalies, and porokeratosis"
What are the symptoms of Lujo Hemorrhagic Fever (LUHF) ?,Lujo Hemorrhagic Fever (LUHF)
What are the symptoms of Skin fragility-woolly hair-palmoplantar keratoderma syndrome ?,Skin fragility-woolly hair-palmoplantar keratoderma syndrome
What are the symptoms of Osteoarthropathy of fingers familial ?,Osteoarthropathy of fingers familial
What are the symptoms of Ichthyosis follicularis atrichia photophobia syndrome ?,Ichthyosis follicularis atrichia photophobia syndrome
What are the symptoms of Chronic hiccups ?,Chronic hiccups
What are the symptoms of Microsomia hemifacial radial defects ?,Microsomia hemifacial radial defects
What are the symptoms of Anophthalmos with limb anomalies ?,Anophthalmos with limb anomalies
What are the symptoms of Laing distal myopathy ?,Laing distal myopathy
What are the symptoms of 18 Hydroxylase deficiency ?,18 Hydroxylase deficiency
What are the symptoms of Rocky Mountain Spotted Fever (RMSF) ?,Rocky Mountain Spotted Fever (RMSF)
What are the symptoms of Pseudoxanthoma elasticum ?,Pseudoxanthoma elasticum
What are the symptoms of Noonan syndrome 6 ?,Noonan syndrome 6
What are the symptoms of Craniosynostosis-mental retardation syndrome of Lin and Gettig ?,Craniosynostosis-mental retardation syndrome of Lin and Gettig
What are the symptoms of Glycogen storage disease type 12 ?,Glycogen storage disease type 12
What are the symptoms of Tetrasomy X ?,Tetrasomy X
What are the symptoms of Raine syndrome ?,Raine syndrome
What are the symptoms of Lafora disease ?,Lafora disease
What are the symptoms of Prader-Willi syndrome ?,Prader-Willi syndrome
What are the symptoms of Short Bowel Syndrome ?,Short Bowel Syndrome
What are the symptoms of Gas in the Digestive Tract ?,Gas in the Digestive Tract
What are the symptoms of Blepharospasm ?,Blepharospasm
What are the symptoms of Iminoglycinuria ?,Iminoglycinuria
What are the symptoms of Panhypopituitarism X-linked ?,Panhypopituitarism X-linked
What are the symptoms of Coats disease ?,Coats disease
What are the symptoms of Chronic Myelogenous Leukemia ?,Chronic Myelogenous Leukemia
What are the symptoms of Brachydactyly types B and E combined ?,Brachydactyly types B and E combined
What are the symptoms of Alopecia intellectual disability syndrome 2 ?,Alopecia intellectual disability syndrome 2
What are the symptoms of Thakker-Donnai syndrome ?,Thakker-Donnai syndrome
"What are the symptoms of Cholestasis, progressive familial intrahepatic 4 ?","Cholestasis, progressive familial intrahepatic 4"
What are the symptoms of Histidinuria renal tubular defect ?,Histidinuria renal tubular defect
What are the symptoms of Desmosterolosis ?,Desmosterolosis
What are the symptoms of X-linked Charcot-Marie-Tooth disease type 3 ?,X-linked Charcot-Marie-Tooth disease type 3
What are the symptoms of 17-alpha-hydroxylase deficiency ?,17-alpha-hydroxylase deficiency
What are the symptoms of Nevoid basal cell carcinoma syndrome ?,Nevoid basal cell carcinoma syndrome
What are the symptoms of Balance Problems ?,Balance Problems
What are the symptoms of Leukemia ?,Leukemia
What are the symptoms of Penttinen-Aula syndrome ?,Penttinen-Aula syndrome
What are the symptoms of Bronchiolitis obliterans ?,Bronchiolitis obliterans
What are the symptoms of Cold urticaria ?,Cold urticaria
What are the symptoms of High Blood Pressure ?,High Blood Pressure
What are the symptoms of Benign hereditary chorea ?,Benign hereditary chorea
What are the symptoms of Patterned dystrophy of retinal pigment epithelium ?,Patterned dystrophy of retinal pigment epithelium
What are the symptoms of Corneal dystrophy crystalline of Schnyder ?,Corneal dystrophy crystalline of Schnyder
What are the symptoms of Schisis association ?,Schisis association
What are the symptoms of Roberts syndrome ?,Roberts syndrome
What are the symptoms of Grubben de Cock Borghgraef syndrome ?,Grubben de Cock Borghgraef syndrome
What are the symptoms of Kosztolanyi syndrome ?,Kosztolanyi syndrome
What are the symptoms of Leber hereditary optic neuropathy with dystonia ?,Leber hereditary optic neuropathy with dystonia
What are the symptoms of Complement component 2 deficiency ?,Complement component 2 deficiency
What are the symptoms of Geniospasm ?,Geniospasm
What are the symptoms of Mucopolysaccharidosis type IVA ?,Mucopolysaccharidosis type IVA
What are the symptoms of Ehrlichiosis ?,Ehrlichiosis
What are the symptoms of Waardenburg syndrome type 2 ?,Waardenburg syndrome type 2
What are the symptoms of Optic atrophy 2 ?,Optic atrophy 2
What are the symptoms of Hermansky-Pudlak syndrome ?,Hermansky-Pudlak syndrome
What are the symptoms of Renal hamartomas nephroblastomatosis and fetal gigantism ?,Renal hamartomas nephroblastomatosis and fetal gigantism
What are the symptoms of I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians
What are the symptoms of Depression ?,Depression
What are the symptoms of Congenital lipoid adrenal hyperplasia ?,Congenital lipoid adrenal hyperplasia
What are the symptoms of Imerslund-Grasbeck syndrome ?,Imerslund-Grasbeck syndrome
What are the symptoms of Thrombotic Thrombocytopenic Purpura ?,Thrombotic Thrombocytopenic Purpura
What are the symptoms of Accessory navicular bone ?,Accessory navicular bone
What are the symptoms of Hemophilia ?,Hemophilia
What are the symptoms of Hand and foot deformity with flat facies ?,Hand and foot deformity with flat facies
What are the symptoms of Klatskin tumor ?,Klatskin tumor
What are the symptoms of Small patella syndrome ?,Small patella syndrome
What are the symptoms of Al Gazali Sabrinathan Nair syndrome ?,Al Gazali Sabrinathan Nair syndrome
What are the symptoms of Acrocephalopolydactylous dysplasia ?,Acrocephalopolydactylous dysplasia
What are the symptoms of Urinary Retention ?,Urinary Retention
What are the symptoms of Catecholaminergic polymorphic ventricular tachycardia ?,Catecholaminergic polymorphic ventricular tachycardia
What are the symptoms of Common variable immunodeficiency ?,Common variable immunodeficiency
What are the symptoms of Brachyolmia type 3 ?,Brachyolmia type 3
What are the symptoms of Chromosome 16p13.3 deletion syndrome ?,Chromosome 16p13.3 deletion syndrome
What are the symptoms of Leri pleonosteosis ?,Leri pleonosteosis
What are the symptoms of Polycystic liver disease ?,Polycystic liver disease
What are the symptoms of Thymic-Renal-Anal-Lung dysplasia ?,Thymic-Renal-Anal-Lung dysplasia
What are the symptoms of Slipped capital femoral epiphysis ?,Slipped capital femoral epiphysis
What are the symptoms of Upington disease ?,Upington disease
What are the symptoms of Glucocorticoid-remediable aldosteronism ?,Glucocorticoid-remediable aldosteronism
What are the symptoms of Spondyloepimetaphyseal dysplasia X-linked ?,Spondyloepimetaphyseal dysplasia X-linked
What are the symptoms of Spinocerebellar ataxia 31 ?,Spinocerebellar ataxia 31
What are the symptoms of ICF syndrome ?,ICF syndrome
What are the symptoms of Neutropenia lethal congenital with eosinophilia ?,Neutropenia lethal congenital with eosinophilia
